X1,X11,M1,M2,M3,M4,M5,X2,X3,X4,X5,X6,y,y1,N1,N2,N3,N4,N5
125.1372288,19.76489169,126,50,197,111,140,2,AGUIX,vena cava,26285,2.7,0.954393262,0.241982441,0.92,0,1.92,0.8,1.08
113.4607918,17.71551951,113,32,175,102,125,3,AGUIX,vena cava,26285,2.7,0.876909591,0.307765216,0.82,0,1.66,0.66,1.08
94.79862962,16.41932991,95,27,145,83,107,4,AGUIX,vena cava,26285,2.7,0.576693022,0.146922348,0.56,0.16,1.04,0.48,0.68
78.38028169,16.32485801,78,23,129,67,89,5,AGUIX,vena cava,26285,2.7,0.282231007,0.125425259,0.28,0,0.62,0.2,0.36
NA,NA,NA,NA,NA,NA,NA,1,AGUIX,vena cava,26684,3.52,NA,NA,NA,NA,NA,NA,NA
93.102889,11.52849911,94,41,127,86,101,2,AGUIX,vena cava,26684,3.52,0.884362764,0.406981924,0.96,0,1.72,0.56,1.16
87.66294982,11.35410913,88,30,121,81,95,3,AGUIX,vena cava,26684,3.52,0.424619962,0.193140028,0.44,0,1.1,0.32,0.56
85.39381652,11.44193576,86,31,115,79,93,4,AGUIX,vena cava,26684,3.52,0.316583493,0.148027067,0.32,0,0.74,0.22,0.42
69.4282818,12.22974658,70,28,109,61,78,5,AGUIX,vena cava,26684,3.52,0.124769674,0.094406392,0.12,0,0.44,0.04,0.2
69.23390588,53.76875637,61,-101,527,50,73,1,AGUIX,vena cava,26375,3.23,0.162491272,0.789411926,0,0,6.76,0,0
108.0329563,13.04812377,109,15,158,100,117,2,AGUIX,vena cava,26375,3.23,0.56460364,0.125201602,0.56,0,0.96,0.48,0.64
103.9784481,12.41492207,104,20,149,96,112,3,AGUIX,vena cava,26375,3.23,0.500356561,0.128322849,0.52,0,0.88,0.42,0.58
92.0416143,11.62876081,92,19,135,85,100,4,AGUIX,vena cava,26375,3.23,0.378090583,0.108861752,0.38,0,0.68,0.3,0.46
70.91639901,11.40889621,71,17,120,64,78,5,AGUIX,vena cava,26375,3.23,0.089550808,0.073630166,0.08,0,0.42,0.02,0.14
73.3018797,6.759007465,72.5,61.66666667,87.16666667,69.08333333,77.45833334,1,GBCA,liver,26201,3.1,NA,,NA,NA,NA,NA,NA
85.51666667,8.015702417,84.66666667,71,103.3333333,80.16666667,90.58333333,2,GBCA,liver,26201,3.1,NA,,NA,NA,NA,NA,NA
85.16666667,5.831847255,84.16666667,76.66666667,98.33333333,80.83333333,89.58333333,3,GBCA,liver,26201,3.1,NA,,NA,NA,NA,NA,NA
77.68333333,6.485909747,78.16666667,65.66666667,89.66666667,73.91666667,82,4,GBCA,liver,26201,3.1,NA,,NA,NA,NA,NA,NA
68.96666667,7.325190147,69,55.66666667,81.33333333,63.75,74.5,5,GBCA,liver,26201,3.1,NA,,NA,NA,NA,NA,NA
71.26649958,9.215195546,71.33333333,52.33333333,89.33333333,65.5,77.33333333,1,GBCA,liver,26608,2.9,NA,,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,GBCA,liver,26608,2.9,NA,,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,3,GBCA,liver,26608,2.9,NA,,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,4,GBCA,liver,26608,2.9,NA,,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,5,GBCA,liver,26608,2.9,NA,,NA,NA,NA,NA,NA
68.09210526,8.149452722,69.33333333,53,85.33333333,61.91666667,72.91666667,1,GBCA,liver,26599,3.22,NA,,NA,NA,NA,NA,NA
84.09454191,8.385816056,83.33333333,69.66666667,101,77.83333333,88.91666667,2,GBCA,liver,26599,3.22,NA,,NA,NA,NA,NA,NA
84.55789474,9.259588282,84.5,68.66666667,104,77.83333333,90.41666667,3,GBCA,liver,26599,3.22,NA,,NA,NA,NA,NA,NA
74.75964912,6.655355808,74.83333333,63,87,70.33333333,78.75,4,GBCA,liver,26599,3.22,NA,,NA,NA,NA,NA,NA
69.70526316,8.825939139,69,51.66666667,88.33333333,65.08333333,75,5,GBCA,liver,26599,3.22,NA,,NA,NA,NA,NA,NA
65.61152882,6.529769033,65.66666667,54.66666667,78.33333333,61.16666667,70.16666667,1,GBCA,liver,26285,2.7,NA,,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,GBCA,liver,26285,2.7,NA,,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,3,GBCA,liver,26285,2.7,NA,,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,4,GBCA,liver,26285,2.7,NA,,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,5,GBCA,liver,26285,2.7,NA,,NA,NA,NA,NA,NA
64.50350877,7.109681542,64,51,80,60.33333333,68.41666667,1,GBCA,liver,26684,3.52,NA,,NA,NA,NA,NA,NA
89.40350877,8.189188622,90,73,102,83.5,96.33333333,2,GBCA,liver,26684,3.52,NA,,NA,NA,NA,NA,NA
85.1754386,7.633218904,84.66666667,70.66666667,101,80.83333333,89.66666667,3,GBCA,liver,26684,3.52,NA,,NA,NA,NA,NA,NA
75.05263158,8.973918793,74,62.33333333,93.33333333,67.5,79.5,4,GBCA,liver,26684,3.52,NA,,NA,NA,NA,NA,NA
71,8.373224416,71,53,85.33333333,65.83333333,75.83333333,5,GBCA,liver,26684,3.52,NA,,NA,NA,NA,NA,NA
58.19883041,6.497851606,58.33333333,47.66666667,71.66666667,53.83333333,61.5,1,GBCA,liver,26375,3.23,NA,,NA,NA,NA,NA,NA
99.46115288,6.862528305,100,87.66666667,112,94.66666667,104.1666667,2,GBCA,liver,26375,3.23,NA,,NA,NA,NA,NA,NA
82.10025063,6.408333387,81,72.33333333,94.33333333,77.83333333,86.5,3,GBCA,liver,26375,3.23,NA,,NA,NA,NA,NA,NA
79.2823726,7.81354407,79.66666667,65.33333333,95.33333333,73.83333333,84.33333333,4,GBCA,liver,26375,3.23,NA,,NA,NA,NA,NA,NA
68.94319131,10.68702535,69.66666667,44.66666667,87.66666667,62.16666667,77.16666667,5,GBCA,liver,26375,3.23,NA,,NA,NA,NA,NA,NA
60.78031189,8.413653447,62,43,75.33333333,54.83333333,66.58333333,1,GBCA,spleen,26201,3.1,NA,,NA,NA,NA,NA,NA
